"lg" "pos1" "pos2" "utr3"
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
5 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
16 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
6 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
6 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "1759814" "1760264" TRUE
10 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
12 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
6 "NA" "NA" TRUE
6 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
6 "NA" "NA" TRUE
12 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "6037511" "6038095" TRUE
5 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
12 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
12 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
16 "NA" "NA" TRUE
6 "NA" "NA" TRUE
5 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
12 "NA" "NA" TRUE
10 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
12 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
10 "NA" "NA" TRUE
10 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
12 "NA" "NA" TRUE
5 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
5 "NA" "NA" TRUE
12 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
12 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
6 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
5 "NA" "NA" TRUE
16 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
16 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
16 "NA" "NA" TRUE
10 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
19 "NA" "NA" TRUE
21 "NA" "NA" TRUE
6 "NA" "NA" TRUE
12 "NA" "NA" TRUE
21 "NA" "NA" TRUE
19 "NA" "NA" TRUE
12 "NA" "NA" TRUE
6 "NA" "NA" TRUE
5 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
12 "NA" "NA" TRUE
19 "NA" "NA" TRUE
6 "NA" "NA" TRUE
21 "NA" "NA" TRUE
5 "NA" "NA" TRUE
21 "NA" "NA" TRUE
16 "NA" "NA" TRUE
