pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
cl white sr white allo S -7.29670462107642 -0.163001904159166 -0.00537860002270329 5.07967767939806 0.00350312716415848 -0.870805514464573 -0.215888417408306 0.112989262750343 allo_S
constance lake al marine allo D -5.14490136001978 0.223551108244816 0.105931028885506 0.965450079370204 -0.0166425279392603 -0.00304430342008816 -0.040801208798969 -0.20251313419463 allo_D
constance lake cl marine allo D -5.27768670715318 0.215207337208309 0.235446396175372 -0.117708933645835 -0.0319030874276128 -0.0790021828071 -0.120204088946636 -0.0204587249422846 allo_D
constance lake cl white allo D -4.89717627008465 0.18570601663843 0.0898935233521568 0.968942875082017 -0.0142885714205339 -0.235484231325371 -0.199522848124141 -0.0285802549430474 allo_D
constance lake constance stream para D -3.94512998571533 0.471013226830364 -0.0184575344561821 -6.68563216880959 -0.60096721521506 0.417519779178027 0.915518222797136 0.512685847887099 para_D
constance lake cp marine allo D -5.0504402267006 0.092045031275207 0.161121262476483 1.98435965814524 -0.0178186190078627 -0.107379873630642 -0.591243018272922 -0.0357901401841201 allo_D
constance lake geneva lake allo S -4.80467528144691 0.131255769754957 -0.277888722157471 0.407114689151947 0.016290616362056 -0.61905722414712 0.413006728071 0.0329275450523615 allo_S
constance lake geneva stream allo D -5.90058039587295 0.214518609362671 -0.0965851968097577 2.00399612205327 -0.000314827658974703 -0.528079382478983 0.165191117026828 0.0131085097986667 allo_D
constance lake joes lake allo S -5.15703814914098 -0.228664301916461 0.242806917227844 1.25365896121915 0.00988640735125831 0.10907880443119 -0.994745721477023 0.0538287839307039 allo_S
constance lake joes stream allo D -7.05708323671295 0.115525245285082 0.491640523978773 2.80635554454729 -0.0335772940967604 -0.0286169545950008 -1.11003987804818 -0.00866622809505481 allo_D
constance lake ln marine allo D -4.72590795807256 0.195516150961412 0.0899829679708883 1.58849177093458 -0.0301926779391756 -0.288623092933673 -0.493453347543194 -0.0305745948457245 allo_D
constance lake mh marine allo D -6.58986333851443 0.301801786676408 0.368501828760167 2.15568136259814 -0.0363792260322597 0.000443570873145981 -0.23737149110894 -0.130997198696057 allo_D
constance lake mh white allo D -5.02958747220794 0.182329932861655 0.267873499217553 -2.09407331798422 -0.0572148775416458 -0.138173533056629 -0.087139324170594 0.0358365808010595 allo_D
constance lake misty lake allo S -3.33508844873057 -0.234175195835533 -0.230174460166084 -1.99110478276013 -0.015976476099041 0.227765665915047 0.698827888613027 -0.0951542572118353 allo_S
constance lake misty stream allo D -3.89176018373799 -0.183113472977139 -0.228444007995412 -0.238808210280759 -0.0160043443208099 -0.0768245404840588 0.577804466387644 -0.0582247396890878 allo_D
constance lake roberts lake allo S -4.53326725796377 0.2589819070734 0.176822572185112 0.963028203123261 -0.0952538987732104 -1.13571752406612 -0.409505029355551 0.219682408149932 allo_S
constance lake roberts stream allo D -4.68463441811756 0.168453342714904 -0.0257325796501817 0.650668433782026 -0.000327185845821079 -1.42116578517493 0.350304331516811 0.0270335922250648 allo_D
constance lake sk marine allo D -5.91180592355796 0.287080740383634 0.388335130062317 1.15082652596245 -0.0613174487028223 -0.117721033175131 -0.620041580969514 -0.00361315686945194 allo_D
constance lake sr marine allo D -4.71719636161944 0.202489591476952 0.103869871889802 -0.694301789175797 -0.0381806698529366 -0.0066856734673881 0.158956891348076 -0.0942451505213565 allo_D
constance lake sr white allo D -5.16848109596886 0.238329972822883 0.222364571046753 2.73155152523078 -0.0540628988476017 -0.341092535242383 -0.820498134036383 0.0411661555585566 allo_D
constance stream al marine allo D -4.60406457509035 0.148918166425397 0.0640324603414185 -0.408388075259268 -0.00868975467779047 0.355720513140846 0.139389006905913 -0.275827717127765 allo_D
constance stream cl marine allo D -5.33300459217892 0.221744166186505 0.24912644251899 0.430154986858667 -0.0335365508466851 -0.135529847039367 -0.187421213638723 -0.0135278544355615 allo_D
