pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds group
denmark marine cl marine allo S -4.24223397853614 -0.0219033632052891 0.0768572872249496 -0.621168341108139 allo_S
denmark marine cl white allo D -3.12567061996707 -0.0253909561583245 0.0381637831941174 -1.6076780723821 allo_D
denmark marine constance lake allo D -5.08683351122128 -0.0237175241564777 0.0317038970646241 0.614455718020946 allo_D
denmark marine constance stream allo D -5.16851619588517 -0.09502791462464 -0.00224323592806445 0.806457591985567 allo_D
denmark marine cp marine allo S -4.74257124427521 -0.0832758585576678 0.00849376026781547 0.278955259115045 allo_S
denmark marine geneva lake allo D -5.23991937186509 -0.0173970644382725 -0.0245168233170156 0.792716806892201 allo_D
denmark marine geneva stream allo D -5.1321136917961 -0.0201900467833186 -0.0107238173892673 0.693889350500168 allo_D
denmark marine joes lake allo D -4.19209233312879 -0.354919458721265 -0.0348592908405896 0.896015924548077 allo_D
denmark marine joes stream allo D -4.76280099563117 -0.283740699644852 0.0531532250503429 0.773179296117001 allo_D
denmark marine litcampbell marine allo S -5.70187353361377 0.0123679192956977 0.0908374100836599 0.173306420054771 allo_S
denmark marine ln marine allo S -3.72005419245679 -0.0297394212918662 0.0351554105221124 -1.07542589494336 allo_S
denmark marine mh marine allo S -3.52820431574848 0.00611289504243823 -0.0204641407073178 -1.11893538017617 allo_S
denmark marine mh white allo D -2.57113257160428 0.00275202929311685 -0.0671134595642358 -1.91496715604866 allo_D
denmark marine misty lake allo D -3.21722965356095 -0.720444200179169 -0.104736311207458 0.304336453331345 allo_D
denmark marine misty stream allo D -3.14301231402609 -1.1487431820576 -0.0408145574108658 0.332683848002408 allo_D
denmark marine roberts lake allo D -3.85319673159788 -0.769337167574298 -0.0349472292246699 0.430662180129189 allo_D
denmark marine roberts stream allo D -2.95686592514972 -1.09360224871067 0.00847413342613587 -0.322833747676532 allo_D
denmark marine sk marine allo S -3.97221536593901 -0.0218377583618066 0.0875483306414078 -1.18019797223693 allo_S
denmark marine sr marine allo S -3.46537045170128 -0.0228843478285167 0.0756863591328474 -1.55799395456817 allo_S
denmark marine sr white allo D -3.61438040410108 -0.0110213109510446 0.0839757860989717 -1.64728245025919 allo_D
geneva lake al marine allo D -3.7313309666926 0.0171215799886825 -0.162065152961912 -0.278929537316415 allo_D
geneva lake cl marine allo D -5.55514425751006 -0.00599377244348891 0.0242091403145091 1.12787402964531 allo_D
