lg_bp_group,benlim_lq,benlim_paxton,benlim_priest,catchen_group1,catchen_group2,catchen_group3,fer_group1,hohenlohe_group1,hohenlohe_group2,japan_group1,roesti_boot,roesti_constance,roesti_geneva,roesti_joes,roesti_misty,roesti_roberts,russian_Ershov,russian_NilMash,whtcmn_CL,whtcmn_MH,whtcmn_SR,overalltrue.x,overallfalse.x,overalltotal,overallprop,bltrue.x,blfalse.x,bltotal,blprop,mltrue.x,mlfalse.x,mltrue2.x,mlfalse2.x,mltotal,mlprop,sltrue.x,slfalse.x,sltotal,slprop,wctrue.x,wcfalse.x,wctotal,wcprop,parallel_allpops_sig,parallel_benlim_sig,parallel_streamlake_sig,parallel_marinefresh_sig,parallel_whitecomm_sig
1_57,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,15,20,0.25,0,3,3,0,4,2,0,2,8,0.5,0,5,5,0,0,3,3,0,TRUE,FALSE,FALSE,TRUE,FALSE
1_58,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,5,14,19,0.263157895,0,3,3,0,2,4,1,1,8,0.375,1,4,5,0.2,0,2,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
1_60,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,12,17,0.294117647,2,1,3,0.666666667,1,3,0,2,6,0.166666667,1,3,4,0.25,0,3,3,0,FALSE,TRUE,FALSE,FALSE,FALSE
1_61,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,11,17,0.352941176,3,0,3,1,1,4,0,2,7,0.142857143,1,2,3,0.333333333,0,3,3,0,TRUE,TRUE,FALSE,FALSE,FALSE
1_62,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,4,11,15,0.266666667,1,2,3,0.333333333,1,3,0,2,6,0.166666667,1,1,2,0.5,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_63,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,10,17,0.411764706,2,1,3,0.666666667,2,3,1,1,7,0.428571429,1,2,3,0.333333333,0,3,3,0,TRUE,TRUE,FALSE,FALSE,FALSE
1_64,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,10,14,0.285714286,1,2,3,0.333333333,2,2,0,2,6,0.333333333,0,1,1,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2,12,14,0.142857143,0,3,3,0,1,3,0,2,6,0.166666667,0,1,1,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_66,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,7,11,18,0.388888889,3,0,3,1,2,4,1,1,8,0.375,0,4,4,0,0,2,2,0,TRUE,TRUE,FALSE,TRUE,FALSE
1_67,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,5,7,12,0.416666667,2,1,3,0.666666667,2,1,0,2,5,0.4,0,0,0,NA,0,3,3,0,TRUE,TRUE,FALSE,FALSE,FALSE
